two_theta,intensity
21.64,0.0944599
21.66,0.1451787
21.68,0.217267
21.7,0.290412
21.72,0.3068613
21.74,0.2519539
21.76,0.1846929
21.78,0.1406863
21.8,0.1253426
21.82,0.1361559
21.84,0.1663612
21.86,0.1936064
21.88,0.182317
21.9,0.1386273
21.92,0.0956289
21.94,0.0662733
21.96,0.0475211
21.98,0.036507
22,0.0302124
22.02,0.0266546
22.04,0.0249857
22.06,0.0248779
22.08,0.0264232
22.1,0.0300086
22.12,0.0362381
22.14,0.045691
22.16,0.0584459
22.18,0.0745739
22.2,0.098766
22.22,0.1379997
22.24,0.1914341
22.26,0.2334472
22.28,0.2205039
22.3,0.1655371
22.32,0.1121464
22.34,0.075123
22.36,0.0526146
22.38,0.0397813
22.4,0.0327252
22.42,0.0291251
22.44,0.0279739
22.46,0.0290448
22.48,0.0329907
22.5,0.0413072
22.52,0.056271
22.54,0.0798989
22.56,0.1097643
22.58,0.1295107
22.6,0.1192258
22.62,0.0917407
22.64,0.0683093
22.66,0.0549365
22.68,0.0507234
22.7,0.0531497
22.72,0.0577425
22.74,0.0591678
22.76,0.0592641
22.78,0.0643018
22.8,0.0790414
22.82,0.1085885
22.84,0.1587539
22.86,0.2296483
22.88,0.2948915
22.9,0.2954408
22.92,0.2302433
22.94,0.1580609
22.96,0.1058095
22.98,0.0733457
23,0.0544949
23.02,0.0437474
23.04,0.0375438
23.06,0.0340321
23.08,0.0323151
23.1,0.0319722
23.12,0.0328235
23.14,0.0348389
23.16,0.038112
23.18,0.0428673
23.2,0.049219
23.22,0.0583835
23.24,0.0711496
23.26,0.0894485
23.28,0.1170028
23.3,0.161092
23.32,0.2347635
23.34,0.3569596
23.36,0.5456876
23.38,0.7906719
23.4,0.9939854
23.42,0.9700343
23.44,0.7389884
23.46,0.4961003
23.48,0.3217613
23.5,0.2121291
23.52,0.1465475
23.54,0.1069101
23.56,0.0816193
23.58,0.0643587
23.6,0.0519943
23.62,0.0428568
23.64,0.0359844
23.66,0.0307822
23.68,0.0269472
23.7,0.0243249
23.72,0.0229501
23.74,0.0227289
23.76,0.0240812
23.78,0.0260353
23.8,0.0266089
23.82,0.0267363
23.84,0.0292123
23.86,0.0350705
23.88,0.0416005
23.9,0.041454
23.92,0.0330184
23.94,0.023261
23.96,0.0159849
23.98,0.0115499
24,0.0089001
24.02,0.0075455
24.04,0.0069416
24.06,0.0062863
24.08,0.0052257
24.1,0.0039465
24.12,0.0028912
24.14,0.002146
24.16,0.0016641
24.18,0.0014021
24.2,0.0013369
24.22,0.0015554
24.24,0.0020579
24.26,0.0027024
24.28,0.0029601
24.3,0.0024848
24.32,0.0017865
24.34,0.0013432
24.36,0.0012965
24.38,0.0014506
24.4,0.0025286
24.42,0.004497
24.44,0.0075048
24.46,0.0108916
24.48,0.0121732
24.5,0.0098577
24.52,0.0063363
24.54,0.0035437
24.56,0.0017458
24.58,0.0006899
24.6,9.45e-05
24.62,-0.0002346
24.64,-0.0004081
24.66,-0.0004799
24.68,-0.0004756
24.7,-0.0004069
24.72,-0.0002772
24.74,-8.4e-05
24.76,0.0001875
24.78,0.0005476
24.8,0.0010362
24.82,0.0017198
24.84,0.0026053
24.86,0.0038552
24.88,0.0053953
24.9,0.0062575
24.92,0.0087074
24.94,0.0126465
24.96,0.0188751
24.98,0.0272103
25,0.0340618
25.02,0.0336015
25.04,0.0278575
25.06,0.0229118
25.08,0.0210465
25.1,0.0226265
25.12,0.0282167
25.14,0.0393805
25.16,0.0586264
25.18,0.087891
25.2,0.1226439
25.22,0.1411184
25.24,0.1247488
25.26,0.093847
25.28,0.0699935
25.3,0.0579517
25.32,0.0565895
25.34,0.0652895
25.36,0.0862844
25.38,0.1218143
25.4,0.1650232
25.42,0.1854816
25.44,0.1585139
25.46,0.111749
25.48,0.0732699
25.5,0.0477495
25.52,0.0320861
25.54,0.022505
25.56,0.0164309
