two_theta,intensity
21.79,0.0138298
21.81,0.0170213
21.83,0.0159575
21.85,0.0175532
21.87,0.0111702
21.89,0.0196809
21.91,0.0228723
21.93,0.0265957
21.95,0.0207447
21.97,0.0202128
21.99,0.0218085
22.01,0.0154255
22.03,0.0202128
22.05,0.0292553
22.07,0.037234
22.09,0.0398936
22.11,0.0585106
22.13,0.087234
22.15,0.2728723
22.17,0.3106383
22.19,0.3569149
22.21,0.3824468
22.23,0.2590425
22.25,0.2127659
22.27,0.1574468
22.29,0.1069149
22.31,0.0829787
22.33,0.0643617
22.35,0.087766
22.37,0.1489362
22.39,0.2409574
22.41,0.3468085
22.42,0.5164893
22.44,0.4505319
22.46,0.2765957
22.48,0.2925532
22.5,0.2904255
22.52,0.1675532
22.54,0.1388298
22.56,0.1638298
22.58,0.093617
22.6,0.0920213
22.62,0.0893617
22.64,0.0712766
22.66,0.0675532
22.68,0.0664894
22.7,0.0659574
22.72,0.0462766
22.74,0.0404255
22.76,0.0478723
22.78,0.0329787
22.8,0.0537234
22.82,0.0882979
22.84,0.1090425
22.86,0.0648936
22.88,0.0691489
22.9,0.0547872
22.92,0.0335106
22.94,0.0212766
22.96,0.0132979
22.98,0.0164894
23,0.0111702
23.02,0.0164894
23.04,0.0159575
23.05,0.012766
23.07,0.0148936
23.09,0.0159575
23.11,0.0159575
23.13,0.0117021
23.15,0.012234
23.17,0.0180851
23.19,0.0106383
23.21,0.0175532
23.23,0.0111702
23.25,0.0138298
23.27,0.012766
23.29,0.0132979
23.31,0.012234
23.33,0.0148936
23.35,0.012234
23.37,0.0138298
23.39,0.0132979
23.41,0.0106383
23.43,0.012766
23.45,0.0143617
23.47,0.018617
23.49,0.0143617
23.51,0.0132979
23.53,0.0255319
23.55,0.0207447
23.57,0.0271277
23.59,0.0297872
23.61,0.0356383
23.63,0.0223404
23.65,0.0265957
23.67,0.0276596
23.68,0.0202128
23.7,0.025
23.72,0.0228723
23.74,0.0393617
23.76,0.0430851
23.78,0.0728723
23.8,0.1409574
23.82,0.2154255
23.84,0.3037234
23.86,0.3877659
23.88,0.3925532
23.9,0.3175532
23.92,0.2175532
23.94,0.1643617
23.96,0.112766
23.98,0.0452128
24,0.0287234
24.02,0.031383
24.04,0.0255319
24.06,0.0218085
24.08,0.018617
24.1,0.0170213
24.12,0.0202128
24.14,0.0281915
24.16,0.0191489
24.18,0.018617
24.2,0.0324468
24.22,0.0287234
24.24,0.0265957
24.26,0.0281915
24.28,0.0281915
24.3,0.0255319
24.32,0.025
24.33,0.0244681
24.35,0.0271277
24.37,0.0361702
24.39,0.0441489
24.41,0.0510638
24.43,0.0521277
24.45,0.0430851
24.47,0.0457447
24.49,0.0319149
24.51,0.0303192
24.53,0.0308511
24.55,0.0308511
24.57,0.037234
24.59,0.0382979
24.61,0.0265957
24.63,0.0212766
24.65,0.0292553
24.67,0.0159575
24.69,0.0095745
24.71,0.0138298
24.73,0.0132979
24.75,0.0138298
24.77,0.0143617
24.79,0.0117021
24.81,0.0154255
24.83,0.0132979
24.85,0.0175532
24.87,0.0148936
24.89,0.0265957
24.91,0.037234
24.93,0.0393617
24.95,0.0255319
24.96,0.0196809
24.98,0.0234043
25,0.0132979
25.02,0.012766
25.04,0.0095745
25.06,0.0111702
25.08,0.0085106
25.1,0.006383
25.12,0.0143617
25.14,0.0085106
25.16,0.0053191
25.18,0.0106383
25.2,0.0132979
25.22,0.0111702
25.24,0.012766
25.26,0.0079787
25.28,0.0095745
25.3,0.0085106
25.32,0.018617
25.34,0.0132979
25.36,0.012766
25.38,0.0117021
25.4,0.0132979
25.42,0.0106383
25.44,0.0101064
25.46,0.0085106
25.48,0.0132979
25.5,0.0085106
25.52,0.0132979
25.54,0.012234
25.56,0.0117021
25.58,0.0090426
25.59,0.0085106
25.61,0.0111702
25.63,0.0101064
25.65,0.0117021
25.67,0.0138298
25.69,0.0132979
25.71,0.0196809
25.73,0.0244681
25.75,0.0207447
25.77,0.0138298
25.79,0.0170213
25.81,0.0164894
25.83,0.0143617
25.85,0.0138298
25.87,0.0159575
25.89,0.0191489
25.91,0.0132979
25.93,0.012766
25.95,0.0170213
25.97,0.0143617
25.99,0.018617
26.01,0.0239362
26.03,0.0255319
26.05,0.0329787
26.07,0.0505319
26.09,0.0691489
26.11,0.087234
26.13,0.1005319
26.15,0.0946809
26.17,0.0776596
26.19,0.0654255
26.21,0.0521277
26.22,0.0574468
26.24,0.043617
26.26,0.0430851
26.28,0.0276596
26.3,0.0228723
26.32,0.0191489
26.34,0.0164894
26.36,0.0154255
26.38,0.012766
26.4,0.0148936
26.42,0.0143617
26.44,0.0164894
26.46,0.0148936
26.48,0.0159575
26.5,0.0170213
26.52,0.0175532
26.54,0.0234043
26.56,0.0164894
26.58,0.018617
26.6,0.018617
26.62,0.0175532
26.64,0.0154255
26.66,0.012766
26.68,0.012766
26.7,0.012766
26.72,0.0143617
